MoleculeType	Uniprot ID	MoleculeName	entrez gene	Gene_Name
Proteins	P30101	UniProt:P30101 PDIA3	2923	PDIA3
Proteins	Q9BZQ6	UniProt:Q9BZQ6 EDEM3	80267	EDEM3
Proteins	Q92611	UniProt:Q92611 EDEM1	9695	EDEM1
Proteins	P27797	UniProt:P27797 CALR	811	CALR
Proteins	P27824	UniProt:P27824 CANX	821	CANX
Proteins	Q9NYU2	UniProt:Q9NYU2 UGGT1	56886	UGGT1
Proteins	Q9NYU1	UniProt:Q9NYU1 UGGT2	55757	UGGT2
Proteins	Q14697	UniProt:Q14697 GANAB	23193	GANAB
Proteins	P14314	UniProt:P14314 PRKCSH	5589	PRKCSH
Proteins	Q14165	UniProt:Q14165 MLEC	9761	MLEC
Proteins	P0CG47	UniProt:P0CG47 UBB	7314	UBB
Proteins	P62987	UniProt:P62987 UBA52	7311	UBA52
Proteins	P62979	UniProt:P62979 RPS27A	6233	RPS27A
Proteins	P0CG48	UniProt:P0CG48 UBC	7316	UBC
Proteins	P54727	UniProt:P54727 RAD23B	5887	RAD23B
Proteins	P62191	UniProt:P62191 PSMC1	5700	PSMC1
Proteins	Q04323	UniProt:Q04323 UBXN1	51035	UBXN1
Proteins	Q96IV0	UniProt:Q96IV0 NGLY1	55768	NGLY1
Proteins	Q9UKV5	UniProt:Q9UKV5 AMFR	267	AMFR
Proteins	P55072	UniProt:P55072 VCP	7415	VCP
Proteins	Q9BUN8	UniProt:Q9BUN8 DERL1	79139	DERL1
Proteins	Q8NFI3	UniProt:Q8NFI3 ENGASE	64772	ENGASE
Proteins	Q8WU17	UniProt:Q8WU17 RNF139	11236	RNF139
Proteins	Q13438	UniProt:Q13438 OS9	10956	OS9
Proteins	Q9UBV2	UniProt:Q9UBV2 SEL1L	6400	SEL1L
Proteins	Q9GZP9	UniProt:Q9GZP9 DERL2	51009	DERL2
Proteins	Q96GF1	UniProt:Q96GF1 RNF185	91445	RNF185
Proteins	O00237	UniProt:O00237 RNF103	7844	RNF103
Proteins	O60858	UniProt:O60858 TRIM13	10206	TRIM13
Proteins	Q86TM6	UniProt:Q86TM6 SYVN1	84447	SYVN1
Proteins	O60337	UniProt:O60337 MARCH6	10299	MARCH6
Proteins	Q99942	UniProt:Q99942 RNF5	6048	RNF5
Proteins	Q13724	UniProt:Q13724 MOGS	7841	MOGS
Proteins	Q9BV94	UniProt:Q9BV94 EDEM2	55741	EDEM2
Proteins	Q9UKM7	UniProt:Q9UKM7 MAN1B1	11253	MAN1B1
